"","PLAYER","Play_Yrs","Games","Year","Pick","CLASS","CONF","BPM","ORTG","USG","EFG","TS","OR","DR","AST","TO","BLK","STL","FTR","FT_PERC","X2P_PERC","X3PR","X3P_PERC","HEIGHT_IN"
"20","James Anderson",5,247,2010,20,"Jr","B12",11.3,117.5,30.7,53.2,59.6,6.7,12.9,16.5,13.1,2,2.4,52.2,0.81,0.549,43.9,0.341,78
"21","Elliot Williams",4,109,2010,22,"So","CUSA",6,112.8,27.7,53.6,59.9,2.7,11.3,24,18.8,0.4,2.4,66,0.758,0.527,42.3,0.366,77
"22","Trevor Booker",8,532,2010,23,"Sr","ACC",10.1,112,24.7,53.3,55,10.1,20.4,17.4,14.4,4.6,2.5,47.4,0.591,0.547,9.4,0.265,79
"23","Damion James",4,39,2010,24,"Sr","B12",9.9,115.6,25.5,54.4,57.8,11,23.9,6.1,14.1,3.6,3,54.9,0.674,0.535,22.4,0.383,79
"24","Quincy Pondexter",7,308,2010,26,"Sr","P12",9.6,123,25.2,54.7,60.8,10.3,15,11.2,12.8,1.8,2.2,48.7,0.827,0.55,11,0.353,78
"25","Jordan Crawford",6,281,2010,27,"So","A10",9.6,113,28.9,53.2,56.4,3.4,12,20.1,14.7,0.6,2.4,27.4,0.773,0.501,35.9,0.391,76
"26","Greivis Vasquez",7,401,2010,28,"Sr","ACC",10,111.7,30.7,49.7,55,3.9,10.3,35.3,18.2,1,2.9,31.8,0.857,0.472,36.8,0.36,78
"27","Dexter Pittman",4,50,2010,32,"Sr","B12",7,113.1,24.4,65.4,63.8,16.6,15.3,5.1,20.4,8.9,1,63.1,0.556,0.654,0,0,82
"28","Hassan Whiteside",7,279,2010,33,"Fr","CUSA",6.7,101.7,24.9,51,53.5,12,24,1.8,16.4,18.3,1.2,58.8,0.594,0.504,1.7,0.6,85
"30","Landry Fields",5,255,2010,39,"Sr","P12",10.6,110.3,31,51.9,56,7.9,20.6,19.6,13.6,2.3,2.6,50.8,0.696,0.521,17,0.337,79
"31","Lance Stephenson",9,450,2010,40,"Fr","BE",4.6,99.3,26,46.2,49.4,7.3,14,19.1,19.5,0.7,1.9,32.3,0.664,0.495,19.8,0.219,77
"32","Jeremy Evans",7,250,2010,55,"Sr","SB",6.2,129.2,17.3,65.6,66.8,13.5,17.8,5.9,14,7.2,1.9,44.1,0.688,0.673,5.7,0.25,81
